ID,Hours,Date,Machine ID,Department,MSEB Zone,KWH Reading,Consumption,P_F,Parts Produced,Molten Metal,Batch ID,Cost of Energy,KWH_Tonne,KWH_part
24,23,2024-07-30,MM1,Moulding,Zone A,1453,18,0.86,58.0,0.0,0,90,0.0,0.3103448275862069
25,0,2024-07-31,MM1,Moulding,Zone A,1470,17,0.87,53.0,0.0,0,85,0.0,0.3207547169811321
26,1,2024-07-31,MM1,Moulding,Zone A,1486,16,0.88,47.0,0.0,0,80,0.0,0.3404255319148936
27,2,2024-07-31,MM1,Moulding,Zone A,1504,18,0.87,60.0,0.0,0,90,0.0,0.3
28,3,2024-07-31,MM1,Moulding,Zone A,1520,16,0.87,54.0,0.0,0,80,0.0,0.2962962962962963
29,4,2024-07-31,MM1,Moulding,Zone A,1537,17,0.9,54.0,0.0,0,85,0.0,0.3148148148148148
30,5,2024-07-31,MM1,Moulding,Zone A,1554,17,0.88,48.0,0.0,0,85,0.0,0.3541666666666667
31,6,2024-07-31,MM1,Moulding,Zone B,1571,17,0.86,58.0,0.0,0,119,0.0,0.293103448275862
32,7,2024-07-31,MM1,Moulding,Zone B,1588,17,0.87,57.0,0.0,0,119,0.0,0.2982456140350877
33,8,2024-07-31,MM1,Moulding,Zone B,1606,18,0.89,53.0,0.0,0,126,0.0,0.3396226415094339
34,9,2024-07-31,MM1,Moulding,Zone C,1624,18,0.86,59.0,0.0,0,162,0.0,0.3050847457627119
35,10,2024-07-31,MM1,Moulding,Zone C,1642,18,0.89,50.0,0.0,0,162,0.0,0.36
36,11,2024-07-31,MM1,Moulding,Zone C,1662,20,0.89,53.0,0.0,0,180,0.0,0.3773584905660378
37,12,2024-07-31,MM1,Moulding,Zone B,1681,19,0.88,46.0,0.0,0,133,0.0,0.4130434782608696
38,13,2024-07-31,MM1,Moulding,Zone B,1700,19,0.88,45.0,0.0,0,133,0.0,0.4222222222222222
39,14,2024-07-31,MM1,Moulding,Zone B,1716,16,0.85,52.0,0.0,0,112,0.0,0.3076923076923077
40,15,2024-07-31,MM1,Moulding,Zone B,1731,15,0.86,58.0,0.0,0,105,0.0,0.2586206896551724
41,16,2024-07-31,MM1,Moulding,Zone B,1751,20,0.87,49.0,0.0,0,140,0.0,0.4081632653061225
42,17,2024-07-31,MM1,Moulding,Zone B,1771,20,0.9,57.0,0.0,0,140,0.0,0.3508771929824561
43,18,2024-07-31,MM1,Moulding,Zone D,1786,15,0.9,54.0,0.0,0,165,0.0,0.2777777777777778
44,19,2024-07-31,MM1,Moulding,Zone D,1801,15,0.87,56.0,0.0,0,165,0.0,0.2678571428571428
45,20,2024-07-31,MM1,Moulding,Zone D,1821,20,0.88,58.0,0.0,0,220,0.0,0.3448275862068966
46,21,2024-07-31,MM1,Moulding,Zone D,1838,17,0.88,52.0,0.0,0,187,0.0,0.3269230769230769
47,22,2024-07-31,MM1,Moulding,Zone A,1856,18,0.88,50.0,0.0,0,90,0.0,0.36
48,23,2024-07-31,MM1,Moulding,Zone A,1871,15,0.87,49.0,0.0,0,75,0.0,0.3061224489795918
49,0,2024-08-01,MM1,Moulding,Zone A,1891,20,0.85,51.0,0.0,0,100,0.0,0.392156862745098
50,1,2024-08-01,MM1,Moulding,Zone A,1906,15,0.9,55.0,0.0,0,75,0.0,0.2727272727272727
51,2,2024-08-01,MM1,Moulding,Zone A,1923,17,0.88,55.0,0.0,0,85,0.0,0.3090909090909091
52,3,2024-08-01,MM1,Moulding,Zone A,1942,19,0.85,47.0,0.0,0,95,0.0,0.4042553191489361
53,4,2024-08-01,MM1,Moulding,Zone A,1957,15,0.87,49.0,0.0,0,75,0.0,0.3061224489795918
54,5,2024-08-01,MM1,Moulding,Zone A,1976,19,0.87,54.0,0.0,0,95,0.0,0.3518518518518519
55,6,2024-08-01,MM1,Moulding,Zone B,1995,19,0.85,47.0,0.0,0,133,0.0,0.4042553191489361
56,7,2024-08-01,MM1,Moulding,Zone B,2013,18,0.89,54.0,0.0,0,126,0.0,0.3333333333333333
57,8,2024-08-01,MM1,Moulding,Zone B,2033,20,0.89,47.0,0.0,0,140,0.0,0.425531914893617
58,9,2024-08-01,MM1,Moulding,Zone C,2048,15,0.87,56.0,0.0,0,135,0.0,0.2678571428571428
59,10,2024-08-01,MM1,Moulding,Zone C,2066,18,0.88,56.0,0.0,0,162,0.0,0.3214285714285715
60,11,2024-08-01,MM1,Moulding,Zone C,2085,19,0.86,46.0,0.0,0,171,0.0,0.4130434782608696
61,12,2024-08-01,MM1,Moulding,Zone B,2102,17,0.88,53.0,0.0,0,119,0.0,0.3207547169811321
62,13,2024-08-01,MM1,Moulding,Zone B,2121,19,0.86,49.0,0.0,0,133,0.0,0.3877551020408163
63,14,2024-08-01,MM1,Moulding,Zone B,2137,16,0.87,55.0,0.0,0,112,0.0,0.2909090909090909
64,15,2024-08-01,MM1,Moulding,Zone B,2156,19,0.87,45.0,0.0,0,133,0.0,0.4222222222222222
65,16,2024-08-01,MM1,Moulding,Zone B,2171,15,0.86,58.0,0.0,0,105,0.0,0.2586206896551724
66,17,2024-08-01,MM1,Moulding,Zone B,2186,15,0.88,56.0,0.0,0,105,0.0,0.2678571428571428
67,18,2024-08-01,MM1,Moulding,Zone D,2205,19,0.86,49.0,0.0,0,209,0.0,0.3877551020408163
68,19,2024-08-01,MM1,Moulding,Zone D,2220,15,0.85,45.0,0.0,0,165,0.0,0.3333333333333333
69,20,2024-08-01,MM1,Moulding,Zone D,2238,18,0.86,49.0,0.0,0,198,0.0,0.3673469387755102
70,21,2024-08-01,MM1,Moulding,Zone D,2253,15,0.9,59.0,0.0,0,165,0.0,0.2542372881355932
71,22,2024-08-01,MM1,Moulding,Zone A,2273,20,0.87,59.0,0.0,0,100,0.0,0.3389830508474576
72,23,2024-08-01,MM1,Moulding,Zone A,2289,16,0.88,51.0,0.0,0,80,0.0,0.3137254901960784
73,0,2024-08-02,MM1,Moulding,Zone A,2307,18,0.87,59.0,0.0,0,90,0.0,0.3050847457627119
74,1,2024-08-02,MM1,Moulding,Zone A,2327,20,0.88,45.0,0.0,0,100,0.0,0.4444444444444444
75,2,2024-08-02,MM1,Moulding,Zone A,2345,18,0.88,55.0,0.0,0,90,0.0,0.3272727272727273
76,3,2024-08-02,MM1,Moulding,Zone A,2361,16,0.88,60.0,0.0,0,80,0.0,0.2666666666666667
77,4,2024-08-02,MM1,Moulding,Zone A,2380,19,0.88,47.0,0.0,0,95,0.0,0.4042553191489361
78,5,2024-08-02,MM1,Moulding,Zone A,2396,16,0.9,49.0,0.0,0,80,0.0,0.3265306122448979
79,6,2024-08-02,MM1,Moulding,Zone B,2416,20,0.87,60.0,0.0,0,140,0.0,0.3333333333333333
80,7,2024-08-02,MM1,Moulding,Zone B,2433,17,0.87,52.0,0.0,0,119,0.0,0.3269230769230769
81,8,2024-08-02,MM1,Moulding,Zone B,2453,20,0.86,50.0,0.0,0,140,0.0,0.4
82,9,2024-08-02,MM1,Moulding,Zone C,2473,20,0.85,55.0,0.0,0,180,0.0,0.3636363636363636
83,10,2024-08-02,MM1,Moulding,Zone C,2492,19,0.88,51.0,0.0,0,171,0.0,0.3725490196078431
84,11,2024-08-02,MM1,Moulding,Zone C,2508,16,0.88,60.0,0.0,0,144,0.0,0.2666666666666667
85,12,2024-08-02,MM1,Moulding,Zone B,2525,17,0.89,53.0,0.0,0,119,0.0,0.3207547169811321
86,13,2024-08-02,MM1,Moulding,Zone B,2543,18,0.89,49.0,0.0,0,126,0.0,0.3673469387755102
87,14,2024-08-02,MM1,Moulding,Zone B,2558,15,0.87,53.0,0.0,0,105,0.0,0.2830188679245283
88,15,2024-08-02,MM1,Moulding,Zone B,2576,18,0.85,53.0,0.0,0,126,0.0,0.3396226415094339
89,16,2024-08-02,MM1,Moulding,Zone B,2596,20,0.89,50.0,0.0,0,140,0.0,0.4
90,17,2024-08-02,MM1,Moulding,Zone B,2616,20,0.89,57.0,0.0,0,140,0.0,0.3508771929824561
91,18,2024-08-02,MM1,Moulding,Zone D,2631,15,0.9,51.0,0.0,0,165,0.0,0.2941176470588235
92,19,2024-08-02,MM1,Moulding,Zone D,2648,17,0.87,46.0,0.0,0,187,0.0,0.3695652173913043
93,20,2024-08-02,MM1,Moulding,Zone D,2663,15,0.88,59.0,0.0,0,165,0.0,0.2542372881355932
94,21,2024-08-02,MM1,Moulding,Zone D,2679,16,0.87,49.0,0.0,0,176,0.0,0.3265306122448979
95,22,2024-08-02,MM1,Moulding,Zone A,2699,20,0.86,47.0,0.0,0,100,0.0,0.425531914893617
96,23,2024-08-02,MM1,Moulding,Zone A,2715,16,0.89,46.0,0.0,0,80,0.0,0.3478260869565217
97,0,2024-08-03,MM1,Moulding,Zone A,2733,18,0.9,59.0,0.0,0,90,0.0,0.3050847457627119
98,1,2024-08-03,MM1,Moulding,Zone A,2752,19,0.87,54.0,0.0,0,95,0.0,0.3518518518518519
99,2,2024-08-03,MM1,Moulding,Zone A,2771,19,0.87,59.0,0.0,0,95,0.0,0.3220338983050847
100,3,2024-08-03,MM1,Moulding,Zone A,2789,18,0.89,47.0,0.0,0,90,0.0,0.3829787234042553
101,4,2024-08-03,MM1,Moulding,Zone A,2804,15,0.9,45.0,0.0,0,75,0.0,0.3333333333333333
102,5,2024-08-03,MM1,Moulding,Zone A,2820,16,0.86,48.0,0.0,0,80,0.0,0.3333333333333333
103,6,2024-08-03,MM1,Moulding,Zone B,2837,17,0.88,50.0,0.0,0,119,0.0,0.34
104,7,2024-08-03,MM1,Moulding,Zone B,2855,18,0.88,58.0,0.0,0,126,0.0,0.3103448275862069
105,8,2024-08-03,MM1,Moulding,Zone B,2874,19,0.89,53.0,0.0,0,133,0.0,0.3584905660377358
106,9,2024-08-03,MM1,Moulding,Zone C,2893,19,0.9,53.0,0.0,0,171,0.0,0.3584905660377358
107,10,2024-08-03,MM1,Moulding,Zone C,2910,17,0.87,59.0,0.0,0,153,0.0,0.288135593220339
108,11,2024-08-03,MM1,Moulding,Zone C,2926,16,0.86,57.0,0.0,0,144,0.0,0.2807017543859649
109,12,2024-08-03,MM1,Moulding,Zone B,2944,18,0.89,48.0,0.0,0,126,0.0,0.375
110,13,2024-08-03,MM1,Moulding,Zone B,2961,17,0.87,56.0,0.0,0,119,0.0,0.3035714285714285
111,14,2024-08-03,MM1,Moulding,Zone B,2977,16,0.9,53.0,0.0,0,112,0.0,0.3018867924528302
112,15,2024-08-03,MM1,Moulding,Zone B,2992,15,0.85,48.0,0.0,0,105,0.0,0.3125
113,16,2024-08-03,MM1,Moulding,Zone B,3009,17,0.89,54.0,0.0,0,119,0.0,0.3148148148148148
114,17,2024-08-03,MM1,Moulding,Zone B,3028,19,0.89,48.0,0.0,0,133,0.0,0.3958333333333333
115,18,2024-08-03,MM1,Moulding,Zone D,3047,19,0.88,52.0,0.0,0,209,0.0,0.3653846153846154
116,19,2024-08-03,MM1,Moulding,Zone D,3065,18,0.9,51.0,0.0,0,198,0.0,0.3529411764705883
117,20,2024-08-03,MM1,Moulding,Zone D,3082,17,0.89,49.0,0.0,0,187,0.0,0.3469387755102041
118,21,2024-08-03,MM1,Moulding,Zone D,3098,16,0.87,60.0,0.0,0,176,0.0,0.2666666666666667
119,22,2024-08-03,MM1,Moulding,Zone A,3114,16,0.86,60.0,0.0,0,80,0.0,0.2666666666666667
120,23,2024-08-03,MM1,Moulding,Zone A,3134,20,0.87,51.0,0.0,0,100,0.0,0.392156862745098
121,0,2024-08-04,MM1,Moulding,Zone A,3149,15,0.87,54.0,0.0,0,75,0.0,0.2777777777777778
122,1,2024-08-04,MM1,Moulding,Zone A,3169,20,0.86,49.0,0.0,0,100,0.0,0.4081632653061225
123,2,2024-08-04,MM1,Moulding,Zone A,3185,16,0.89,49.0,0.0,0,80,0.0,0.3265306122448979
124,3,2024-08-04,MM1,Moulding,Zone A,3202,17,0.87,52.0,0.0,0,85,0.0,0.3269230769230769
125,4,2024-08-04,MM1,Moulding,Zone A,3217,15,0.89,45.0,0.0,0,75,0.0,0.3333333333333333
126,5,2024-08-04,MM1,Moulding,Zone A,3232,15,0.86,56.0,0.0,0,75,0.0,0.2678571428571428
127,6,2024-08-04,MM1,Moulding,Zone B,3249,17,0.86,60.0,0.0,0,119,0.0,0.2833333333333333
128,7,2024-08-04,MM1,Moulding,Zone B,3264,15,0.86,46.0,0.0,0,105,0.0,0.3260869565217391
129,8,2024-08-04,MM1,Moulding,Zone B,3284,20,0.86,45.0,0.0,0,140,0.0,0.4444444444444444
130,9,2024-08-04,MM1,Moulding,Zone C,3300,16,0.89,47.0,0.0,0,144,0.0,0.3404255319148936
131,10,2024-08-04,MM1,Moulding,Zone C,3320,20,0.89,55.0,0.0,0,180,0.0,0.3636363636363636
132,11,2024-08-04,MM1,Moulding,Zone C,3335,15,0.87,50.0,0.0,0,135,0.0,0.3
133,12,2024-08-04,MM1,Moulding,Zone B,3350,15,0.88,47.0,0.0,0,105,0.0,0.3191489361702128
134,13,2024-08-04,MM1,Moulding,Zone B,3368,18,0.85,55.0,0.0,0,126,0.0,0.3272727272727273
135,14,2024-08-04,MM1,Moulding,Zone B,3383,15,0.89,51.0,0.0,0,105,0.0,0.2941176470588235
136,15,2024-08-04,MM1,Moulding,Zone B,3400,17,0.89,47.0,0.0,0,119,0.0,0.3617021276595745
137,16,2024-08-04,MM1,Moulding,Zone B,3416,16,0.89,56.0,0.0,0,112,0.0,0.2857142857142857
138,17,2024-08-04,MM1,Moulding,Zone B,3431,15,0.89,46.0,0.0,0,105,0.0,0.3260869565217391
139,18,2024-08-04,MM1,Moulding,Zone D,3450,19,0.9,56.0,0.0,0,209,0.0,0.3392857142857143
140,19,2024-08-04,MM1,Moulding,Zone D,3469,19,0.88,45.0,0.0,0,209,0.0,0.4222222222222222
141,20,2024-08-04,MM1,Moulding,Zone D,3489,20,0.86,48.0,0.0,0,220,0.0,0.4166666666666667
142,21,2024-08-04,MM1,Moulding,Zone D,3507,18,0.88,55.0,0.0,0,198,0.0,0.3272727272727273
143,22,2024-08-04,MM1,Moulding,Zone A,3526,19,0.87,52.0,0.0,0,95,0.0,0.3653846153846154
144,23,2024-08-04,MM1,Moulding,Zone A,3542,16,0.86,48.0,0.0,0,80,0.0,0.3333333333333333
145,0,2024-08-05,MM1,Moulding,Zone A,3562,20,0.85,54.0,0.0,0,100,0.0,0.3703703703703703
146,1,2024-08-05,MM1,Moulding,Zone A,3577,15,0.88,53.0,0.0,0,75,0.0,0.2830188679245283
147,2,2024-08-05,MM1,Moulding,Zone A,3592,15,0.85,45.0,0.0,0,75,0.0,0.3333333333333333
148,3,2024-08-05,MM1,Moulding,Zone A,3610,18,0.89,58.0,0.0,0,90,0.0,0.3103448275862069
149,4,2024-08-05,MM1,Moulding,Zone A,3629,19,0.89,48.0,0.0,0,95,0.0,0.3958333333333333
150,5,2024-08-05,MM1,Moulding,Zone A,3648,19,0.89,60.0,0.0,0,95,0.0,0.3166666666666667
151,6,2024-08-05,MM1,Moulding,Zone B,3665,17,0.88,47.0,0.0,0,119,0.0,0.3617021276595745
152,7,2024-08-05,MM1,Moulding,Zone B,3681,16,0.86,56.0,0.0,0,112,0.0,0.2857142857142857
153,8,2024-08-05,MM1,Moulding,Zone B,3699,18,0.88,55.0,0.0,0,126,0.0,0.3272727272727273
154,9,2024-08-05,MM1,Moulding,Zone C,3718,19,0.88,52.0,0.0,0,171,0.0,0.3653846153846154
155,10,2024-08-05,MM1,Moulding,Zone C,3735,17,0.89,51.0,0.0,0,153,0.0,0.3333333333333333
156,11,2024-08-05,MM1,Moulding,Zone C,3751,16,0.89,47.0,0.0,0,144,0.0,0.3404255319148936
157,12,2024-08-05,MM1,Moulding,Zone B,3770,19,0.88,60.0,0.0,0,133,0.0,0.3166666666666667
158,13,2024-08-05,MM1,Moulding,Zone B,3788,18,0.86,47.0,0.0,0,126,0.0,0.3829787234042553
159,14,2024-08-05,MM1,Moulding,Zone B,3808,20,0.87,58.0,0.0,0,140,0.0,0.3448275862068966
160,15,2024-08-05,MM1,Moulding,Zone B,3825,17,0.87,45.0,0.0,0,119,0.0,0.3777777777777778
161,16,2024-08-05,MM1,Moulding,Zone B,3844,19,0.86,54.0,0.0,0,133,0.0,0.3518518518518519
162,17,2024-08-05,MM1,Moulding,Zone B,3861,17,0.88,52.0,0.0,0,119,0.0,0.3269230769230769
163,18,2024-08-05,MM1,Moulding,Zone D,3880,19,0.86,46.0,0.0,0,209,0.0,0.4130434782608696
164,19,2024-08-05,MM1,Moulding,Zone D,3896,16,0.85,58.0,0.0,0,176,0.0,0.2758620689655172
165,20,2024-08-05,MM1,Moulding,Zone D,3916,20,0.87,48.0,0.0,0,220,0.0,0.4166666666666667
166,21,2024-08-05,MM1,Moulding,Zone D,3934,18,0.87,45.0,0.0,0,198,0.0,0.4
167,22,2024-08-05,MM1,Moulding,Zone A,3949,15,0.88,54.0,0.0,0,75,0.0,0.2777777777777778
168,23,2024-08-05,MM1,Moulding,Zone A,3964,15,0.87,51.0,0.0,0,75,0.0,0.2941176470588235
169,0,2024-08-06,MM1,Moulding,Zone A,3980,16,0.86,53.0,0.0,0,80,0.0,0.3018867924528302
170,1,2024-08-06,MM1,Moulding,Zone A,3997,17,0.87,50.0,0.0,0,85,0.0,0.34
171,2,2024-08-06,MM1,Moulding,Zone A,4012,15,0.87,59.0,0.0,0,75,0.0,0.2542372881355932
172,3,2024-08-06,MM1,Moulding,Zone A,4032,20,0.88,50.0,0.0,0,100,0.0,0.4
173,4,2024-08-06,MM1,Moulding,Zone A,4047,15,0.88,49.0,0.0,0,75,0.0,0.3061224489795918
174,5,2024-08-06,MM1,Moulding,Zone A,4067,20,0.86,48.0,0.0,0,100,0.0,0.4166666666666667
175,6,2024-08-06,MM1,Moulding,Zone B,4083,16,0.89,49.0,0.0,0,112,0.0,0.3265306122448979
176,7,2024-08-06,MM1,Moulding,Zone B,4099,16,0.86,56.0,0.0,0,112,0.0,0.2857142857142857
177,8,2024-08-06,MM1,Moulding,Zone B,4118,19,0.87,57.0,0.0,0,133,0.0,0.3333333333333333
178,9,2024-08-06,MM1,Moulding,Zone C,4136,18,0.87,47.0,0.0,0,162,0.0,0.3829787234042553
179,10,2024-08-06,MM1,Moulding,Zone C,4154,18,0.89,58.0,0.0,0,162,0.0,0.3103448275862069
180,11,2024-08-06,MM1,Moulding,Zone C,4171,17,0.87,47.0,0.0,0,153,0.0,0.3617021276595745
181,12,2024-08-06,MM1,Moulding,Zone B,4189,18,0.86,45.0,0.0,0,126,0.0,0.4
182,13,2024-08-06,MM1,Moulding,Zone B,4206,17,0.86,53.0,0.0,0,119,0.0,0.3207547169811321
183,14,2024-08-06,MM1,Moulding,Zone B,4225,19,0.87,57.0,0.0,0,133,0.0,0.3333333333333333
184,15,2024-08-06,MM1,Moulding,Zone B,4245,20,0.86,47.0,0.0,0,140,0.0,0.425531914893617
185,16,2024-08-06,MM1,Moulding,Zone B,4260,15,0.9,55.0,0.0,0,105,0.0,0.2727272727272727
186,17,2024-08-06,MM1,Moulding,Zone B,4277,17,0.89,59.0,0.0,0,119,0.0,0.288135593220339
187,18,2024-08-06,MM1,Moulding,Zone D,4294,17,0.87,55.0,0.0,0,187,0.0,0.3090909090909091
188,19,2024-08-06,MM1,Moulding,Zone D,4314,20,0.87,60.0,0.0,0,220,0.0,0.3333333333333333
189,20,2024-08-06,MM1,Moulding,Zone D,4329,15,0.85,57.0,0.0,0,165,0.0,0.2631578947368421
190,21,2024-08-06,MM1,Moulding,Zone D,4345,16,0.86,55.0,0.0,0,176,0.0,0.2909090909090909
191,22,2024-08-06,MM1,Moulding,Zone A,4360,15,0.88,51.0,0.0,0,75,0.0,0.2941176470588235
192,23,2024-08-06,MM1,Moulding,Zone A,4379,19,0.86,51.0,0.0,0,95,0.0,0.3725490196078431
193,0,2024-08-07,MM1,Moulding,Zone A,4398,19,0.86,50.0,0.0,0,95,0.0,0.38
194,1,2024-08-07,MM1,Moulding,Zone A,4413,15,0.89,49.0,0.0,0,75,0.0,0.3061224489795918
195,2,2024-08-07,MM1,Moulding,Zone A,4430,17,0.89,46.0,0.0,0,85,0.0,0.3695652173913043
196,3,2024-08-07,MM1,Moulding,Zone A,4446,16,0.89,47.0,0.0,0,80,0.0,0.3404255319148936
197,4,2024-08-07,MM1,Moulding,Zone A,4464,18,0.86,45.0,0.0,0,90,0.0,0.4
198,5,2024-08-07,MM1,Moulding,Zone A,4482,18,0.86,51.0,0.0,0,90,0.0,0.3529411764705883
199,6,2024-08-07,MM1,Moulding,Zone B,4499,17,0.88,59.0,0.0,0,119,0.0,0.288135593220339
200,7,2024-08-07,MM1,Moulding,Zone B,4519,20,0.87,59.0,0.0,0,140,0.0,0.3389830508474576
201,8,2024-08-07,MM1,Moulding,Zone B,4534,15,0.89,60.0,0.0,0,105,0.0,0.25
202,9,2024-08-07,MM1,Moulding,Zone C,4549,15,0.86,59.0,0.0,0,135,0.0,0.2542372881355932
203,10,2024-08-07,MM1,Moulding,Zone C,4569,20,0.85,47.0,0.0,0,180,0.0,0.425531914893617
204,11,2024-08-07,MM1,Moulding,Zone C,4585,16,0.85,57.0,0.0,0,144,0.0,0.2807017543859649
205,12,2024-08-07,MM1,Moulding,Zone B,4603,18,0.9,52.0,0.0,0,126,0.0,0.3461538461538461
206,13,2024-08-07,MM1,Moulding,Zone B,4621,18,0.89,53.0,0.0,0,126,0.0,0.3396226415094339
207,14,2024-08-07,MM1,Moulding,Zone B,4637,16,0.85,59.0,0.0,0,112,0.0,0.2711864406779661
208,15,2024-08-07,MM1,Moulding,Zone B,4656,19,0.9,45.0,0.0,0,133,0.0,0.4222222222222222
209,16,2024-08-07,MM1,Moulding,Zone B,4676,20,0.86,54.0,0.0,0,140,0.0,0.3703703703703703
210,17,2024-08-07,MM1,Moulding,Zone B,4695,19,0.86,53.0,0.0,0,133,0.0,0.3584905660377358
211,18,2024-08-07,MM1,Moulding,Zone D,4712,17,0.86,46.0,0.0,0,187,0.0,0.3695652173913043
212,19,2024-08-07,MM1,Moulding,Zone D,4732,20,0.89,51.0,0.0,0,220,0.0,0.392156862745098
213,20,2024-08-07,MM1,Moulding,Zone D,4747,15,0.87,51.0,0.0,0,165,0.0,0.2941176470588235
214,21,2024-08-07,MM1,Moulding,Zone D,4767,20,0.89,47.0,0.0,0,220,0.0,0.425531914893617
215,22,2024-08-07,MM1,Moulding,Zone A,4787,20,0.88,50.0,0.0,0,100,0.0,0.4
216,23,2024-08-07,MM1,Moulding,Zone A,4805,18,0.86,52.0,0.0,0,90,0.0,0.3461538461538461
217,0,2024-08-08,MM1,Moulding,Zone A,4824,19,0.86,47.0,0.0,0,95,0.0,0.4042553191489361
218,1,2024-08-08,MM1,Moulding,Zone A,4840,16,0.86,56.0,0.0,0,80,0.0,0.2857142857142857
219,2,2024-08-08,MM1,Moulding,Zone A,4855,15,0.87,45.0,0.0,0,75,0.0,0.3333333333333333
220,3,2024-08-08,MM1,Moulding,Zone A,4873,18,0.89,60.0,0.0,0,90,0.0,0.3
221,4,2024-08-08,MM1,Moulding,Zone A,4890,17,0.85,60.0,0.0,0,85,0.0,0.2833333333333333
222,5,2024-08-08,MM1,Moulding,Zone A,4910,20,0.86,56.0,0.0,0,100,0.0,0.3571428571428572
223,6,2024-08-08,MM1,Moulding,Zone B,4927,17,0.86,49.0,0.0,0,119,0.0,0.3469387755102041
224,7,2024-08-08,MM1,Moulding,Zone B,4945,18,0.88,57.0,0.0,0,126,0.0,0.3157894736842105
225,8,2024-08-08,MM1,Moulding,Zone B,4961,16,0.89,59.0,0.0,0,112,0.0,0.2711864406779661
226,9,2024-08-08,MM1,Moulding,Zone C,4978,17,0.87,48.0,0.0,0,153,0.0,0.3541666666666667
227,10,2024-08-08,MM1,Moulding,Zone C,4997,19,0.86,45.0,0.0,0,171,0.0,0.4222222222222222
228,11,2024-08-08,MM1,Moulding,Zone C,5015,18,0.89,58.0,0.0,0,162,0.0,0.3103448275862069
229,12,2024-08-08,MM1,Moulding,Zone B,5033,18,0.87,56.0,0.0,0,126,0.0,0.3214285714285715
230,13,2024-08-08,MM1,Moulding,Zone B,5048,15,0.86,60.0,0.0,0,105,0.0,0.25
231,14,2024-08-08,MM1,Moulding,Zone B,5065,17,0.85,47.0,0.0,0,119,0.0,0.3617021276595745
232,15,2024-08-08,MM1,Moulding,Zone B,5084,19,0.89,50.0,0.0,0,133,0.0,0.38
233,16,2024-08-08,MM1,Moulding,Zone B,5101,17,0.9,50.0,0.0,0,119,0.0,0.34
234,17,2024-08-08,MM1,Moulding,Zone B,5121,20,0.89,55.0,0.0,0,140,0.0,0.3636363636363636
235,18,2024-08-08,MM1,Moulding,Zone D,5136,15,0.9,49.0,0.0,0,165,0.0,0.3061224489795918
236,19,2024-08-08,MM1,Moulding,Zone D,5155,19,0.88,59.0,0.0,0,209,0.0,0.3220338983050847
